id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5032389,FALCONIERI APARTMENT IN ROME,25979268,Claudio,,XII Monte Verde,41.87516,12.45305,Entire home/apt,150,7,4,2017-04-10,0.07,1,360,0,
5032776,Charming flat in the heart of History.,25781400,Frédéric,,I Centro Storico,41.89307,12.48995,Entire home/apt,97,2,313,2021-09-30,3.92,1,0,29,
5033803,Chroma Apt Trastevere - Apartment,25458029,Matteo,,I Centro Storico,41.88535,12.46978,Entire home/apt,118,2,6,2017-06-17,0.08,2,0,0,
5033954,Double Room next to the Colosseum!,23932735,Maison Colosseo,,I Centro Storico,41.88865,12.49857,Hotel room,83,2,64,2020-01-12,0.79,3,340,6,
5034132,"Modern flat vatican ""Il Vaticanino""",14709289,Edoardo,,I Centro Storico,41.90576,12.44595,Entire home/apt,46,1,9,2017-04-18,0.11,4,96,0,
5036139,"Rome, Wonderful view for Three",25930349,Aria  Rome Rooms,,I Centro Storico,41.88693,12.5072,Private room,108,1,1,2019-11-29,0.04,4,69,0,
5036702,SUN APARTMENT,25999912,Peter,,I Centro Storico,41.89377,12.47228,Entire home/apt,209,3,64,2021-10-11,0.99,3,347,7,
5040208,Nataly's House outdoor relax space,25621796,Natalina,,XII Monte Verde,41.87613,12.35665,Entire home/apt,84,2,12,2020-01-01,0.20,1,347,2,
5043207,2 bedrooms in apartment in centre,26037310,Vivienne,,II Parioli/Nomentano,41.91287,12.50648,Private room,80,3,0,,,1,364,0,
5044536,".Cozy large Room, near Colosseum! 600m MetroA!",20968125,Patrizio,,I Centro Storico,41.88888,12.51356,Private room,39,2,353,2019-12-21,4.43,19,145,6,
5045690,Bacall - 2Bdr 2Bth - Terrace,8953681,EasyDomus,,I Centro Storico,41.8852,12.47271,Entire home/apt,181,1,24,2021-09-30,0.51,14,305,14,
5055692,Casa Grifone 200steps from Coliseum,20802755,Jean Frances,,I Centro Storico,41.89624,12.4894,Private room,68,2,0,,,7,67,0,
5055883,Boutique B&B very Central & Confy!,81015,Emanuele,,I Centro Storico,41.89198,12.50079,Entire home/apt,45,3,127,2021-07-28,1.60,10,330,7,
5059021,Mini-Loft with view!Trastevere Roma,25937075,Andrea,,XII Monte Verde,41.87556,12.46223,Entire home/apt,85,2,90,2018-05-29,1.14,1,68,0,
5064872,my sunny place,1557141,Gaia,,VIII Appia Antica,41.85838,12.50613,Entire home/apt,77,1,12,2016-08-10,0.17,3,0,0,
