id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22876424,Design Apartment in Porta Venezia,169270925,Piergiorgio,,BUENOS AIRES - VENEZIA,45.48375,9.20995,Entire home/apt,500,1,1,2018-04-14,0.02,1,0,0,
22877559,Covid Free sparkling Home! 2 min from the tube!,2823172,Sandy,,CITTA' STUDI,45.48202,9.22541,Private room,28,2,17,2019-04-12,0.41,2,1,5,
22878529,Nuovo Bilocale in Centro a Milano,159449478,Rossana,,UMBRIA - MOLISE,45.45511,9.21659,Entire home/apt,227,7,0,,,1,363,0,
22879762,Comfortable Room in Milan,124892345,Francesco,,BRERA,45.48088,9.18527,Private room,74,1,83,2021-09-23,2.67,2,90,9,
22885426,"Small and cozy house,1min from subway！",220903154,Davide,,AFFORI,45.50809,9.17991,Entire home/apt,36,1,141,2019-09-06,3.25,1,19,2,
22891521,Domus 73/S - D. Lagosta charming and modern,167142329,Casa Albergo Residence Zara,,ISOLA,45.49127,9.19192,Entire home/apt,300,1,0,,,6,358,0,
22891732,Domus 53/D - D. Lagosta : 120sm of elegance,167142329,Casa Albergo Residence Zara,,ISOLA,45.49125,9.19207,Entire home/apt,300,1,0,,,6,358,0,
22891852,Domus 83/S - Domus Lagosta,167142329,Casa Albergo Residence Zara,,ISOLA,45.49095,9.19026,Entire home/apt,300,1,0,,,6,358,0,
22891948,Domus 51/S - Domus Lagosta,167142329,Casa Albergo Residence Zara,,ISOLA,45.49068,9.19217,Entire home/apt,180,1,0,,,6,335,0,
22892236,Domus 63/S - Domus Lagosta,167142329,Casa Albergo Residence Zara,,ISOLA,45.49136,9.1907,Entire home/apt,300,1,0,,,6,358,0,
22892342,Domus 82/S - D. Lagosta the new skyline,167142329,Casa Albergo Residence Zara,,ISOLA,45.48947,9.19211,Entire home/apt,180,1,0,,,6,358,0,
22895294,Prestige Loft facing “Bosco Verticale” Isola Distr,138138,Milano Short Term Rent,,ISOLA,45.48567,9.19212,Entire home/apt,82,2,84,2021-07-11,1.86,17,328,11,
22898341,Camera con bagno privato e TV vicinissima a metro,139776506,Monica,,DERGANO,45.49972,9.18615,Private room,30,1,2,2019-04-12,0.07,1,0,0,
22898600,la casetta di nicoletta,169484993,Nicoletta,,GUASTALLA,45.46222,9.201,Entire home/apt,85,3,7,2019-10-22,0.21,1,169,0,
22898661,Penthouse Design and Fashion area,67011472,Manuela,,TORTONA,45.45589,9.1569,Entire home/apt,62,1,45,2021-09-12,1.06,1,73,3,
22900189,CITY LIGHTHOUSE  (CIR: 015146-CNI-00920),23572413,Giulio,,SARPI,45.48153,9.17593,Entire home/apt,106,2,59,2020-02-09,1.41,1,165,0,CIR: 015146-CNI-00920
22915453,The Laurern - Milano NoLo,169655039,Laura,,LORETO,45.4957,9.21751,Private room,28,1,169,2020-02-22,3.74,1,260,3,
22915994,Milan Center-Linate modern and confortable,169660467,Giovanni E Loredana,,CORSICA,45.46086,9.23065,Entire home/apt,68,2,20,2018-07-22,0.47,1,291,0,
22917218,Taverna di charme nel cuore vibrante di Milano,1871776,Andrea,,SARPI,45.48434,9.17447,Entire home/apt,95,2,11,2021-08-16,0.25,1,150,2,
22919956,Luxury Flat with Terrace / Stunning Skyline View,2646488,Antonio,,CENTRALE,45.4888,9.20441,Entire home/apt,121,2,37,2021-09-13,0.87,4,206,7,18042019-1541
22920471,LILLAHOLIDAYS - very close to subway mm3 lodi,169688907,Ilaria,,PORTA ROMANA,45.45073,9.21202,Entire home/apt,73,1,30,2021-10-01,0.69,2,14,1,
22920501,Sweet Inn | Stylish 3BR near Galleria Vittorio,154144241,Sweet Inn,,DUOMO,45.4665,9.19668,Entire home/apt,426,2,34,2021-05-10,1.04,47,270,9,
22920708,Sweet Inn | Glamorous 2BR in the city center,154144241,Sweet Inn,,MAGENTA - S. VITTORE,45.45683,9.17392,Entire home/apt,209,2,45,2021-05-31,1.30,47,273,10,
22921136,Nice Room in Milan inside Ventura Desing District,116205019,Daniele,,LAMBRATE,45.48318,9.25528,Private room,70,4,1,2019-04-13,0.03,1,0,0,
22924291,GRAZIOSO MONOLOCALE A MILANO,26265641,Roberto,,VILLAPIZZONE,45.495407,9.144546,Entire home/apt,52,2,46,2019-04-12,1.03,1,0,4,
22924618,Bright and comfortable flat near Navigli,13180680,Paolo,,S. CRISTOFORO,45.44216,9.16181,Entire home/apt,58,3,55,2018-08-18,1.23,1,236,0,
22933995,Nuovo Monolocale a City Life - Fiera Milano City,159427839,Alberto,,PORTELLO,45.48843,9.15115,Entire home/apt,46,1,102,2021-09-13,2.30,1,338,23,
22938578,"Appartamento Palazzo Maltecca 
CIR015146-CNI-01662",148664395,Isabella,,PAGANO,45.47625,9.17088,Entire home/apt,286,2,111,2021-08-12,2.52,3,62,16,015146-CNI-01662
